fen,evaluation
8/p3k1pp/8/2PB3P/3K2P1/1P6/7r/8 b - - 0 39,-457
6B1/p5pp/2Pk4/7P/5KP1/1Pr5/8/8 b - - 2 43,-514
8/p3k1pp/8/2PB3P/5KP1/1P2r3/8/8 b - - 4 41,-511
8/p3k1pp/8/2PB3P/5KP1/1Pr5/8/8 w - - 5 42,-496
8/p3k1pp/8/2PBK2P/6P1/1P2r3/8/8 w - - 3 41,-485
8/p3k1pp/2P5/3B3P/5KP1/1Pr5/8/8 b - - 0 42,-535
6B1/p5p1/2Pk3p/5K1P/6P1/1Pr5/8/8 b - - 1 44,-558
6B1/p5p1/2rk2Kp/7P/6P1/1P6/8/8 b - - 1 45,-628
6B1/p5p1/2rk3p/5K1P/6P1/1P6/8/8 w - - 0 45,-566
8/p5pp/2Pk4/3B3P/5KP1/1Pr5/8/8 w - - 1 43,-534
6B1/p5p1/2r3Kp/4k2P/6P1/1P6/8/8 w - - 2 46,-620
r1b2rk1/pp1n1pp1/1q2p2p/3nN3/8/3B2B1/PPP1QPPP/R1KR4 b - - 6 18,0
6B1/p5p1/2Pk3p/7P/5KP1/1Pr5/8/8 w - - 0 44,-554
r1b2rk1/pp3pp1/1q2p2p/2nnN3/8/3B2B1/PPP1QPPP/R1KR4 w - - 7 19,0
r1b2rk1/pp1n1pp1/1q2pn1p/4N3/5B2/3B4/PPP1QPPP/R1KR4 b - - 4 17,0
r1b2rk1/pp3pp1/1q2p2p/2nnN3/2B5/6B1/PPP1QPPP/R1KR4 b - - 8 19,0
r1b2rk1/pp1n1pp1/1q2p2p/3nN3/5B2/3B4/PPP1QPPP/R1KR4 w - - 5 18,0
6B1/p5K1/2r4p/4k2P/6P1/1P6/8/8 b - - 0 46,-655
r4rk1/pp1b1pp1/1q2p2p/2nnN3/2B5/6B1/PPP1QPPP/R1KR4 w - - 9 20,13
6B1/p5K1/2r4p/7P/5kP1/1P6/8/8 w - - 1 47,-726
r4rk1/pp1N1pp1/1q2p2p/2nn4/2B5/6B1/PPP1QPPP/R1KR4 b - - 0 20,30
r4rk1/pp1n1pp1/1q2p2p/3n4/P1B5/6B1/1PP1QPPP/R1KR4 b - - 0 21,9
r4rk1/pp1n1pp1/1q2p2p/3n4/2B5/6B1/PPP1QPPP/R1KR4 w - - 0 21,6
2r2rk1/pp1n1pp1/1q2p2p/3n4/P1B5/R5B1/1PP1QPPP/2KR4 b - - 2 22,0
2r2rk1/pp1n1pp1/1q2p2p/3n4/P1B5/6B1/1PP1QPPP/R1KR4 w - - 1 22,11
2r2rk1/pp1n1pp1/4p2p/3n4/PqB5/R5B1/1PP1QPPP/2KR4 w - - 3 23,52
2r2rk1/pp1n1pp1/7p/3p4/Pq6/R5B1/1PP1QPPP/2KR4 w - - 0 24,68
2r2rk1/pp1n1pp1/4p2p/3B4/Pq6/R5B1/1PP1QPPP/2KR4 b - - 0 23,87
2r2rk1/pp3pp1/5n1p/3p4/P3q3/R2Q2B1/1PP2PPP/2KR4 w - - 4 26,143
2r2rk1/pp3pp1/5n1p/3p4/P3Q3/R5B1/1PP2PPP/2KR4 b - - 0 26,154
2r2rk1/pp3pp1/5n1p/8/P3p3/R5B1/1PP2PPP/2KR4 w - - 0 27,157
2r2rk1/pp3pp1/5n1p/8/P3p3/1R4B1/1PP2PPP/2KR4 b - - 1 27,151
2r2rk1/pp1n1pp1/7p/1Q1p4/Pq6/R5B1/1PP2PPP/2KR4 b - - 1 24,42
2r2rk1/pp1n1pp1/7p/3p4/P3q3/R2Q2B1/1PP2PPP/2KR4 b - - 3 25,50
2r2rk1/p4pp1/1p3n1p/8/P3p3/1R4B1/1PP2PPP/2KR4 w - - 0 28,162
2r2rk1/pp1n1pp1/7p/1Q1p4/P3q3/R5B1/1PP2PPP/2KR4 w - - 2 25,28
5rk1/p4pp1/1pr2n1p/1R6/P3p3/6B1/1PP2PPP/2KR4 w - - 2 29,140
5rk1/p4pp1/1prR1n1p/1R6/P3p3/6B1/1PP2PPP/2K5 b - - 3 29,147
2r2rk1/p4pp1/1p3n1p/1R6/P3p3/6B1/1PP2PPP/2KR4 b - - 1 28,127
5rk1/p4pp1/1p1B1n1p/1R6/P3p3/8/1PP2PPP/2K5 b - - 0 30,151
5rk1/p4pp1/1p1r1n1p/1R6/P3p3/6B1/1PP2PPP/2K5 w - - 0 30,157
2r3k1/p4pp1/1p1B1n1p/1R6/P3p3/8/1PP2PPP/2K5 w - - 1 31,154
6k1/p2n1pp1/1pr4p/1R6/P3pB2/7P/1PP2PP1/2K5 w - - 3 33,121
5k2/p2n1pp1/1pr4p/1R6/P3p3/4B2P/1PP2PP1/2K5 w - - 5 34,126
6k1/p4pp1/1prB1n1p/1R6/P3p3/7P/1PP2PP1/2K5 w - - 1 32,120
6k1/p4pp1/1pr2n1p/1R6/P3pB2/7P/1PP2PP1/2K5 b - - 2 32,121
2r3k1/p4pp1/1p1B1n1p/1R6/P3p3/7P/1PP2PP1/2K5 b - - 0 31,124
6k1/p2n1pp1/1pr4p/1R6/P3p3/4B2P/1PP2PP1/2K5 b - - 4 33,124
5k2/p4pp1/1p2rn1p/8/PR2p3/1P2B2P/2P2PP1/2K5 w - - 1 36,140
5k2/p4pp1/1pr2n1p/8/PR2p3/1P2B2P/2P2PP1/2K5 b - - 0 35,138
5k2/p2n1pp1/1pr4p/8/PR2p3/4B2P/1PP2PP1/2K5 b - - 6 34,152
5k2/p4pp1/1p2rn1p/1R6/P3p3/1P2B2P/2P2PP1/2K5 b - - 2 36,142
5k2/p4pp1/1pr2n1p/8/PR2p3/4B2P/1PP2PP1/2K5 w - - 7 35,153
8/p3kpp1/1p2rn1p/1R6/P3p3/1P2B2P/2P2PP1/2K5 w - - 3 37,167
8/p2nkpp1/1p2r2p/PR6/4p3/1P2B2P/2P2PP1/2K5 w - - 1 38,136
8/p3kpp1/1p2rn1p/PR6/4p3/1P2B2P/2P2PP1/2K5 b - - 0 37,147
8/p2nkpp1/1P2r2p/1R6/4p3/1P2B2P/2P2PP1/2K5 b - - 0 38,143
8/3nkpp1/1p4rp/1R6/2P1p3/1P2B2P/5PP1/2K5 w - - 1 40,140
8/3nkpp1/1p1r3p/1R6/2P1p3/1P2B1PP/5P2/2K5 w - - 1 41,111
